תג,מזהה אובייקט,מזהה commit,קבצים
cli-v4.8.1.0,fae9ee3e5fded9f180f6470e012e2e316d949402,4899065ad215e9adc1b1229bb1a51b62bd1c3baf,2645
cli-v4.8.10.22040+1743,528940e1a3593f1ae5bd9bfd964d2f37fb9d45e1,528940e1a3593f1ae5bd9bfd964d2f37fb9d45e1,3106
cli-v4.8.11.22151+0454,4b84aa1bf6608d9a5f6c023d4446006a7a5dbcfd,4b84aa1bf6608d9a5f6c023d4446006a7a5dbcfd,3111
cli-v4.8.12.22247+0031,b7704eacfe1e5ab4840c1759f5ee3830af38a328,b7704eacfe1e5ab4840c1759f5ee3830af38a328,3115
cli-v4.8.13.23182+2215,6aa2c493231f4301125f2570dc5efd644691bbad,6aa2c493231f4301125f2570dc5efd644691bbad,3224
cli-v4.8.14.24016+1909,a946e0d4f5452fa072c566e5ea786518b9b8cb53,a946e0d4f5452fa072c566e5ea786518b9b8cb53,3440
cli-v4.8.15.24089+0912,7b1ebab28758ff14f90191f56987d307cdf47e14,7b1ebab28758ff14f90191f56987d307cdf47e14,3329
cli-v4.8.16.24121+2117,22c171a496f5985f06ff6934ffee2d7139834e66,22c171a496f5985f06ff6934ffee2d7139834e66,3392
cli-v4.8.2.0,35dff2a26e6795acd4b03e8ccf55a99f7a88d611,2413c76f5680a9f13af9013f67b396eb0e487207,2835
cli-v4.8.3,11fb2a35892199a8f5dcfd29c88cfbd7cf4fce27,738cac07e244bc4800a9f27036f2e45f6a4f77df,2945
cli-v4.8.4,aeb0d705d554e6a708eda3006163f96f7bb72a11,92cb346eece706db810468984b3fa8564f14b16c,2966
cli-v4.8.5,0600b0c0f1914e001f56ca1c46a799660fe35672,6f3e00415516b17079b956bcd31e0f6c3d75d265,2999
cli-v4.8.6,161af25ada12289995686262014751ecd4803459,9eb5df2ea7e9622c227970b81702c0600b5d98a4,3082
cli-v4.8.7,f63e8f5cbf2a14d7ab2a9b91e1b3218b9e9ad2ea,7eb0a4e1f6d2509735b2da80168b1c8b0e5b2f20,3084
cli-v4.8.8,a5e08e0100285831aaaf05d1a325ec775a53b65d,b074f295861b617054c2ad1f6071bba50c885181,3058
cli-v4.8.9.21361+0320,915f5ded14bb4fc8ba39f2d74d27efb033b3c004,915f5ded14bb4fc8ba39f2d74d27efb033b3c004,3090
cli-v5.0.0.24296+1622,d357bce5699b3ab644cad45040b392f9d1c84d12,d357bce5699b3ab644cad45040b392f9d1c84d12,3628
cli-v5.0.0.25034+1521,4c78a676204cf294bf04c24caf8daed3dce44ec8,4c78a676204cf294bf04c24caf8daed3dce44ec8,3620
cli-v5.0.1.25051+1239,eefe702a8d3e57097334e9053d2d8c4fb260c1c0,eefe702a8d3e57097334e9053d2d8c4fb260c1c0,3625
cli-v5.1.0.25094+1002,e46560448003a46ee9e6bc4b9da3fbb8bb58b406,e46560448003a46ee9e6bc4b9da3fbb8bb58b406,3599
cli-v5.1.0.25094+1003,8d74e98b3fab6a91aadb401a17c76e77507674a0,8d74e98b3fab6a91aadb401a17c76e77507674a0,3599
cli-v5.1.0.25094+1017,98a19f7fa433705abbbc4158c27858750428c7b7,98a19f7fa433705abbbc4158c27858750428c7b7,3599
cli-v5.2.0.25181+1332,e42b3bb85300fd543279e2e45a8541b355bb77c8,e42b3bb85300fd543279e2e45a8541b355bb77c8,3609
cli-v5.2.0.25181+1357,42d243875b42e0a37b1f4ba6f0c15638b6fd7a1a,42d243875b42e0a37b1f4ba6f0c15638b6fd7a1a,3609
cli-v5.3.0.25308+0745,232767475d82ad7eec46d3d7005db6f10658a242,232767475d82ad7eec46d3d7005db6f10658a242,3545
