הפניה,נתיב,גרסה,כיסוי
refs/github-services/pull/1336/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1336/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1336/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1342/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1342/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1342/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1343/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1343/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1343/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1346/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1346/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1346/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1348/head,dev/modules/pyRevitLabs.Python.Net,5214f72f10fb6ab26256e3f575630dc513234dea,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1348/head,dev/modules/pyRevitLabs.dlr,42f4eb4175e13476f3befc7c071c92e3fef8fe69,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1348/head,dev/modules/pyRevitLabs.ironpython2,982510bfcee30e98b4129498174a992f04b38adc,מצביע בלבד; המאגר החיצוני לא נסרק
refs/github-services/pull/1352/head,dev/modules/pyRevitLabs.Python.Net,41c175ef4d26aa0e1807d35b238177d641c65d67,מצביע בלבד; המאגר החיצוני לא נסרק
